Payload,Fport
03BB00030000,2
03BB00020000,2
03BB00020000,2
03BC00010000,2
03BC00010000,2
03BC00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD00000000,2
03BD000004D1,2
045A001C04D1,2
04F8003C04D1,2
0596005C04D1,2
0633007C04D1,2
06D1009C04D1,2
076F00BC04E3,2
076F01E004E3,2
076F030504E3,2
076F04290AFC,2
076F054E0AFC,2
076F06730AFC,2
076F07970AFC,2
076907980AFC,2
076307990AFC,2
075E079A0AFC,2
0758079B0AFC,2
0753079C0AFC,2
074D079D0B06,2
0745078F0B06,2
073D07810B06,2
073607730B06,2
072E07650B06,2
072607570B06,2
071E07490B0D,2
071807440B0D,2
071107400B0D,2
070A073C0B0D,2
070407380B0D,2
06FD07340B0D,2
06F7072F0B0D,2
06F1072D0B0D,2
06EA072B0B0D,2
06E407290B0D,2
06DE07270B0D,2
06D807250B0D,2
06D107230B0D,2
06CB07210B0D,2
06C507200B0D,2
06BF071E0B0D,2
06B8071D0B0D,2
06B2071B0B0D,2
06AC07190B0D,2
06A507190B0D,2
069E07180B0D,2
069707180B0D,2
069007170B0D,2
068907170B0D,2
068307160B10,2
067B07140B10,2
067307120B10,2
066B07100B10,2
0663070E0B10,2
065C070C0B10,2
0654070A0B0D,2
065205DE0B0D,2
064F04B30B0D,2
064D03880B0D,2
064B025C04E3,2
0649013104E3,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064700060000,2
064600080000,2
0646000A0000,2
0646000C04E3,2
0645000E04E3,2
0645001004E3,2
064500120AE3,2
064201850AE3,2
063F02F80AE3,2
063B046B0AE3,2
063805DE0AE3,2
063507510AE3,2
063208C40AE8,2
062C08AE0AE8,2
062608970AE8,2
061F08810AE8,2
0619086A0AE8,2
061308540AE8,2
060D083D0AE0,2
0606081B0AE0,2
060007F90AE0,2
05F907D70AE0,2
05F207B50AE0,2
05EC07930AE0,2
05E507710AD9,2
05DF07670AD9,2
05D9075C0AD9,2
05D307520AD9,2
05CE07470AD9,2
05C8073D0AD9,2
05C207330AD6,2
05BB072D0AD6,2
05B507270AD6,2
05AE07210AD6,2
05A7071C0AD6,2
05A107160AD6,2
059A07100AD6,2
0594070E0AD6,2
058E070C0AD6,2
0589070A0AD6,2
058307080AD6,2
057D07060AD6,2
057707030AD4,2
057107020AD4,2
056A07010AD4,2
056407000AD4,2
055E06FF0AD4,2
055806FE0AD4,2
055106FD0ACC,2
054B071A0ACC,2
054407370ACC,2
053E07540ACC,2
053707700ACC,2
0531078D0ACC,2
052A07AA0AD6,2
0523079C0AD6,2
051D078F0AD6,2
051607810AD6,2
051007730AD6,2
050907660AD6,2
050307580AD6,2
04FE07460AD6,2
04F907340AD6,2
04F507210AD6,2
04F0070F0AD6,2
04EB06FD0AD6,2
04E706EA0AD9,2
04E006EA0AD9,2
04D906E90AD9,2
04D206E90AD9,2
04CB06E80AD9,2
04C406E80AD9,2
04BD06E70AFC,2
04B806E80AFC,2
04B206E80AFC,2
04AC06E90AFC,2
04A706E90AFC,2
04A106EA0AFC,2
049C06EA0AFE,2
049406EA0AFE,2
048D06E90AFE,2
048606E90AFE,2
047F06E80AFE,2
047806E80AFE,2
047106E70AFE,2
046B06E70AFE,2
046506E70AFE,2
045F06E70AFE,2
045906E70AFE,2
045306E70AFE,2
044D06E70AFE,2
044306E90AFE,2
043906EA0AFE,2
042F06EC0AFE,2
042506ED0AFE,2
041B06EF0AFE,2
041106F10AFE,2
040E06F00AFE,2
040C06EF0AFE,2
040906ED0AFE,2
040706EC0AFE,2
040406EB0AFE,2
040206EA0AFE,2
03FB06EA0AFE,2
03F406E90AFE,2
03ED06E90AFE,2
03E706E80AFE,2
03E006E80AFE,2
03D906E70AFE,2
03D105CB0AFE,2
03C904AE0AFE,2
03C103910AFE,2
03BA02750AFE,2
03B201580AFE,2
03AA003B0AF4,2
03AB003204E3,2
03AC002804E3,2
03AE001F04E3,2
03AF001504E3,2
03B0000C04E3,2
03B100030000,2
03B100030000,2
03B100040000,2
03B100040000,2
03B100050000,2
03B100050000,2
03B100060000,2
03B100060000,2
03B100070000,2
03B100070000,2
03B100080000,2
03B100080000,2
03B100090000,2
03B100090000,2
03B1000A0000,2
03B1000A0000,2
03B1000B0000,2
03B1000C0000,2
03B1000C0000,2
03B1000D0000,2
03B1000D0000,2
03B1000E0000,2
03B1000E0000,2
03B1000F0000,2
03B1000F0000,2
03B100100000,2
03B100100000,2
036E06DF0ABD,2
036806FB0ABD,2
036307170ABD,2
035D07330B2E,2
035507310B2E,2
034E072F0B2E,2
0346072E0B2E,2
033E072C0B2E,2
0336072B0B2E,2
032E07290B35,2
032807270B35,2
032107250B35,2
031B07230B35,2
031407210B35,2
030E071F0B35,2
0307071D0B35,2
030007150B35,2
02F8070D0B35,2
02F107050B35,2
02E906FD0B35,2
02E206F50B35,2
02DA06ED0B2E,2
039F05C60B2E,2
0463049F0B2E,2
052803780B2E,2
05ED02510B2E,2
06B1012A0B2E,2
07760003061B,2
07740110061B,2
0771021E0B2E,2
076F032B0B2E,2
076C04390B2E,2
076A05460B2E,2
076706540AA4,2
076206640AA4,2
075D06750AA4,2
075806860AA4,2
075306970AA4,2
074E06A70AA4,2
074906B80AA7,2
074406AD0AA7,2
073E06A20AA7,2
073806970AA7,2
0733068C0AA7,2
072D06810AA7,2
072706760AAC,2
072106780AAC,2
071A067A0AAC,2
0714067C0AAC,2
070D067F0AAC,2
070706810AAC,2
070006830AA9,2
06FA06850AA9,2
06F406880AA9,2
06EE068B0AA9,2
06E8068D0AA9,2
06E206900AA9,2
06DD06920AB8,2
06D806920AB8,2
06D306920AB8,2
06CE06920AB8,2
06CA06920AB8,2
06C506920AB8,2
06C006920AB6,2
06BB06900AB6,2
06B5068D0AB6,2
