PAYLOAD,FPORT
001A000500010DB6,2
002B001300010DB6,2
00330022000A0DB6,2
004E0022000E0DB6,2
006B002900220DB6,2
009B003000240DB6,2
00B5004000340DB6,2
00C9004E003B0DB6,2
00E60057003D0DB6,2
00FA005F004A0DB6,2
010B0063004C0DB6,2
011F0064004F0DB6,2
0126007100530DB6,2
012C007F00580DB6,2
0132008F005B0DB6,2
0140009C005D0DB6,2
014B00AC005F0DB6,2
015D00B500620DB6,2
016600BB00700DB6,2
016D00D000730DB6,2
017C00D200870DB6,2
018F00E300880DB6,2
019D00F000930DB6,2
01A900F800A60DB6,2
01B900F900AC0DB6,2
01BD010300B50DB6,2
01C7010E00B60DB6,2
01D3011200BD0DB6,2
01E5011300C20DB6,2
01F3012800C30DB6,2
020E012B00C80DB6,2
0216013C00D30DB6,2
0226013F00E50DB6,2
023A014C00E60DB6,2
0249014E00F80DB6,2
0261015900F80DB6,2
0279015F00FD0DB6,2
0281016501110DB6,2
02A00169011F0DB6,2
02BE016E012E0DB6,2
02E7016F01360DB6,2
02FC017601410DB6,2
030A017C01540DB6,2
0322018801580DB6,2
0328019F01600DB6,2
033401B401640DB6,2
033D01C201730DB6,2
035B01C901750DB6,2
037E01CC01780DB6,2
039301D701820DB6,2
03B001E401830DB6,2
03C601EB01910DB6,2
03D001FD01970DB6,2
03D7020901A60DB6,2
03E5021701AD0DB6,2
03FB021E01B20DB6,2
0422022801BE0DB6,2
0432024B01C70DB6,2
0451025501DB0DB6,2
0476025B01DC0DB6,2
0493026101E40DB6,2
04AB026B01EE0DB6,2
04C5027101F60DB6,2
04D2028901F90DB6,2
04E6029C01FB0DB6,2
04F6029C02140DB6,2
050602A402180DB6,2
051202B2021A0DB6,2
052002B902210DB6,2
052B02C802230DB6,2
053D02D002260DB6,2
055A02D1022C0DB6,2
056602D6023F0DB6,2
057B02DC02480DB6,2
059102E102500DB6,2
05A102EE02570DB6,2
05B402F1025F0DB6,2
05C802F602660DB6,2
05D9030202680DB6,2
05E2031702690DB6,2
05F40323026A0DB6,2
060A032D026D0DB6,2
06230335026F0DB6,2
063D033802770DB6,2
064C033E02870DB6,2
06710346028D0DB6,2
0685034802AA0DB6,2
06A9035702AB0DB6,2
06C0036202B50DB6,2
06C8038102B90DB6,2
06EC038702BA0DB6,2
06FB039902C40DB6,2
0726039D02C40DB6,2
073803AF02D00DB6,2
075603B302DE0DB6,2
075D03B503060DB6,2
077803BD03060DB6,2
079003C703080DB6,2
079503D2031B0DB6,2
07B303D6031D0DB6,2
07C803D903220DB6,2
07DE03DF03240DB6,2
07F203E403290DB6,2
080703EC032B0DB6,2
082203EF032C0DB6,2
083A03F803360DB6,2
086003FC03370DB6,2
0877040B033E0DB6,2
0899041403520DB6,2
08B5043203580DB6,2
08C10463035B0DB6,2
08E60467035B0DB6,2
09030471035D0DB6,2
0915047F03670DB6,2
0937047F036E0DB6,2
0941048D03930DB6,2
0966049D039B0DB6,2
098304B503A30DB6,2
